2019/03/18 08:46:44 CET Importing files from project directory C:/WCs/ESDBusinessDevelopment/Product_Input/DemoModels/AdaptiveCruiseControl
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/ACC_System_If__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/driverUserInterface__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\SIUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\ACC_Parameters.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\Cla_CommonUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/SIUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\ACC_System_If__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/Unittest_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/Cla_CommonUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/ACC_Parameters.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\sensorFusion__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/ACC_System_If__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\ACC_Architecture__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/Unittest_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:59 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/sensorFusion__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:01 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/ACC_Architecture__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:01 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\HandWrittenTests.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:01 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/HandWrittenTests.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\Cla_CommonUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\Unittest_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\ACC_Architecture.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/Cla_CommonUnits.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\ACC_Units.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/ACC_Architecture.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:47:03 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/ACC_Units.h:9:10: fatal error: 'stdbool.h' file not found
